id,education_level,country,university,program,ranking,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
1,bakalavriat,Almaniya Federativ Respublikası,Technical University of Munich,Architecture,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
2,bakalavriat,Almaniya Federativ Respublikası,Technical University of Munich,Landscape Architecture and Landscape Planning,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
3,bakalavriat,Birləşmiş Ərəb Əmirlikləri,Abu Dhabi University,Architecture,501,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,24.1
4,bakalavriat,Birləşmiş Ərəb Əmirlikləri,Abu Dhabi University,Interior Design,501,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,24.1
5,bakalavriat,Birləşmiş Ərəb Əmirlikləri,United Arab Emirates University,Architectural Engineering,261,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,39.4
6,bakalavriat,Birləşmiş Ərəb Əmirlikləri,University of Sharjah,Architectural Engineering,332,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,33.6
7,bakalavriat,Birləşmiş Ərəb Əmirlikləri,University of Sharjah,Architecture,332,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,33.6
8,bakalavriat,Birləşmiş Krallıq,UCL,Architecture,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
9,bakalavriat,Birləşmiş Krallıq,UCL,Engineering and Architectural Design,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
10,bakalavriat,Birləşmiş Krallıq,University of Cambridge,Architecture,5,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,96.7
11,bakalavriat,Birləşmiş Krallıq,University of Edinburgh,Architecture,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
12,bakalavriat,Birləşmiş Krallıq,University of Edinburgh,Interior Design,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
13,bakalavriat,Birləşmiş Krallıq,University of Edinburgh,Structural Engineering with Architecture,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
14,bakalavriat,Çin Xalq Respublikası,Beijing Normal University,Urban and Rural Planning and Resource management,271,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,19.7,38.5
15,bakalavriat,Çin Xalq Respublikası,Chinese University of Hong Kong,Architectural Studies,36,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,81.3
16,bakalavriat,Çin Xalq Respublikası,Chinese University of Hong Kong,Urban studies,36,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,81.3
17,bakalavriat,Çin Xalq Respublikası,Chongqing University,Architecture,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
18,bakalavriat,Çin Xalq Respublikası,Chongqing University,Landscape Architecture,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
19,bakalavriat,Çin Xalq Respublikası,Dalian University of Technology,Architecture,448,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,26.6
20,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Architecture,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
21,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Environmental Design,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
22,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Landscape Architecture,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
23,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Road Bridge and River Crossing Engineering,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
24,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Urban and Rural Planning,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
25,bakalavriat,Çin Xalq Respublikası,Huazhong University of Science and Technology,Architecture,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
26,bakalavriat,Çin Xalq Respublikası,Huazhong University of Science and Technology,Landscape Architecture,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
27,bakalavriat,Çin Xalq Respublikası,Huazhong University of Science and Technology,Urban and Rural Planning,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
28,bakalavriat,Çin Xalq Respublikası,Hunan University,Architecture,448,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,26.6
29,bakalavriat,Çin Xalq Respublikası,Hunan University,Urban Planning,448,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,26.6
30,bakalavriat,Çin Xalq Respublikası,Xiamen University,Architecture,362,23.6,16.2,19.0,72.2,5.1,3.1,62.6,46.0,15.4,31.7
31,bakalavriat,Çin Xalq Respublikası,Nanjing University,Architecture,145,57.1,32.5,35.6,93.0,61.9,7.6,67.1,29.0,16.5,53
32,bakalavriat,Çin Xalq Respublikası,Southeast University,Architecture,428,13.5,6.6,20.8,82.0,14.4,3.4,69.2,5.0,11.6,27.8
33,bakalavriat,Çin Xalq Respublikası,Tianjin University,Industrial Design,269,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,16.9,38.6
34,bakalavriat,Çin Xalq Respublikası,Tongji University,Architecture,192,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24.0,81.4,46.9
35,bakalavriat,Çin Xalq Respublikası,Tsinghua University,Architecture,20,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,86.5
36,bakalavriat,Çin Xalq Respublikası,Tsinghua University,Construction Management,20,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,86.5
37,bakalavriat,Çin Xalq Respublikası,Tsinghua University,Industrial Design,20,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,86.5
38,bakalavriat,Çin Xalq Respublikası,Tsinghua University,Landscape Architecture,20,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,86.5
39,bakalavriat,Çin Xalq Respublikası,Tsinghua University,Urban Planning,20,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,86.5
40,bakalavriat,Çin Xalq Respublikası,University of Hong Kong,Design,17,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2,87.6
41,bakalavriat,Çin Xalq Respublikası,University of Hong Kong,Urban Studies,17,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2,87.6
42,bakalavriat,İrlandiya Respublikası,University College Dublin,Architecture,126,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,55
43,bakalavriat,İrlandiya Respublikası,University College Dublin,City Planning and Environmental Policy,126,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,55
44,bakalavriat,İrlandiya Respublikası,University College Dublin,Landscape Architecture,126,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,55
45,bakalavriat,İrlandiya Respublikası,University College Dublin,Structural Engineering with Architecture,126,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,55
46,bakalavriat,İsrail Dövləti,Technion Israel Institute of Technology,Landscape Architecture,,,,,,,,,,,
47,bakalavriat,İsveçrə Konfederasiyası,École Polytechnique Fédérale de Lausanne,Architecture,26,84.2,67.2,91.2,93.6,100.0,100.0,81.7,27.2,86.7,83.5
48,bakalavriat,İsveçrə Konfederasiyası,ETH Zurich,Architecture,7,98.8,87.2,65.9,97.9,100.0,98.6,95.7,90.5,98.8,93.9
49,bakalavriat,İtaliya Respublikası,Polytechnic University of Milan,Architectural Design,,,,,,,,,,,
50,bakalavriat,İtaliya Respublikası,Polytechnic University of Milan,Building and Construction Engineering,,,,,,,,,,,
51,bakalavriat,İtaliya Respublikası,Polytechnic University of Milan,Environmental and Land Planning Engineering,,,,,,,,,,,
52,bakalavriat,İtaliya Respublikası,Polytechnic University of Milan,"Urban Planning: City, Environment and Landscape",,,,,,,,,,,
53,bakalavriat,İtaliya Respublikası,Sapienza University of Rome,Sustainable Building Engineering,132,80.7,48.5,5.0,45.3,3.1,8.0,97.1,88.0,72.3,54.2
54,bakalavriat,İtaliya Respublikası,University of Bologna,Building Construction Engineering,133,80.8,47.8,3.7,46.6,14.5,12.3,96.0,53.8,88.4,54.1
55,bakalavriat,İtaliya Respublikası,University of Florence,Architectural Science,375,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5,31.2
56,bakalavriat,İtaliya Respublikası,University of Florence,Architecture,375,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5,31.2
57,bakalavriat,İtaliya Respublikası,University of Florence,Landscape and Urban Planning,375,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5,31.2
58,bakalavriat,Koreya Respublikası,Chung-Ang University,Architecture and Building Science,489,16.0,31.9,67.8,9.3,14.2,37.8,29.9,13.5,49.5,24.5
59,bakalavriat,Koreya Respublikası,Kyung Hee University,Architectural engineering,328,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,80.5,33.8
60,bakalavriat,Koreya Respublikası,Kyung Hee University,Architecture,328,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,80.5,33.8
61,bakalavriat,Koreya Respublikası,Sejong University,Architectural Engineering,396,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9,29.7
62,bakalavriat,Koreya Respublikası,Sejong University,Architecture,396,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9,29.7
63,bakalavriat,Koreya Respublikası,Seoul National University,Architecture and Architectural Engineering,31,98.5,98.6,83.1,71.7,10.5,16.9,73.2,100.0,96.0,82.3
64,bakalavriat,Koreya Respublikası,Seoul National University,Landscape Architecture,31,98.5,98.6,83.1,71.7,10.5,16.9,73.2,100.0,96.0,82.3
65,bakalavriat,Koreya Respublikası,Sungkyunkwan University (SKKU),Architecture,,,,,,,,,,,
66,bakalavriat,Malayziya,Universiti Sains Malaysia,Interior Architecture,146,63.3,69.7,46.4,19.6,24.3,96.4,87.8,20.1,71.2,52.7
67,bakalavriat,Malayziya,Universiti Teknologi Malaysia,Architecture,181,48.6,59.6,46.0,40.5,14.1,86.9,82.9,18.0,52.1,48.5
68,bakalavriat,Malayziya,University of Malaya,Architecture,,,,,,,,,,,
69,bakalavriat,Sinqapur Respublikası,National University of Singapore,Industrial Design,8,99.5,91.1,68.8,93.1,100.0,88.9,91.6,100.0,97.7,93.7
70,bakalavriat,Sinqapur Respublikası,National University of Singapore,Landscape Architecture,8,99.5,91.1,68.8,93.1,100.0,88.9,91.6,100.0,97.7,93.7
71,bakalavriat,Türkiyə Respublikası,Bilkent University,Architecture,477,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,25.1
72,bakalavriat,Türkiyə Respublikası,Bilkent University,Interior Architecture and Environmental Design,477,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,25.1
73,bakalavriat,Türkiyə Respublikası,Bilkent University,Urban Design and Landscape Architecture,477,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,25.1
74,bakalavriat,Türkiyə Respublikası,Middle East Technical University,Architecture,285,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5,37.2
75,bakalavriat,Türkiyə Respublikası,Middle East Technical University,City and Regional Planning,285,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5,37.2
76,bakalavriat,Türkiyə Respublikası,Middle East Technical University,Industrial Design,285,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5,37.2
77,magistratura,Almaniya Federativ Respublikası,Technical University Berlin,Architecture,,,,,,,,,,,
78,magistratura,Almaniya Federativ Respublikası,Technical University Berlin,Landscape Architecture,,,,,,,,,,,
79,magistratura,Almaniya Federativ Respublikası,Technical University Berlin,Urban Design,,,,,,,,,,,
80,magistratura,Almaniya Federativ Respublikası,Technical University of Munich,Architecture,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
81,magistratura,Almaniya Federativ Respublikası,Technical University of Munich,Conservation and Landscape Planning,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
82,magistratura,Almaniya Federativ Respublikası,Technical University of Munich,Information Technologies for the Built Environment,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
83,magistratura,Almaniya Federativ Respublikası,Technical University of Munich,Land Management and Geospatial Science,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
84,magistratura,Almaniya Federativ Respublikası,Technical University of Munich,Landscape Architecture,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
85,magistratura,Amerika Birləşmiş Ştatları,Carnegie Mellon University,Advanced Architectural Design,58,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,72
86,magistratura,Amerika Birləşmiş Ştatları,Carnegie Mellon University,Architecture,58,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,72
87,magistratura,Amerika Birləşmiş Ştatları,Carnegie Mellon University,Design,58,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,72
88,magistratura,Amerika Birləşmiş Ştatları,Carnegie Mellon University,Urban Design,58,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,72
89,magistratura,Amerika Birləşmiş Ştatları,Columbia University,Advanced Architectural Design,34,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,82
90,magistratura,Amerika Birləşmiş Ştatları,Columbia University,Architecture and Urban Design,34,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,82
91,magistratura,Amerika Birləşmiş Ştatları,Columbia University,Urban Planning,34,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,82
92,magistratura,Amerika Birləşmiş Ştatları,Cornell University,Architecture,16,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,87.9
93,magistratura,Amerika Birləşmiş Ştatları,Cornell University,Regional Planning,16,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,87.9
94,magistratura,Amerika Birləşmiş Ştatları,Harvard University,Architecture,4,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,96.8
95,magistratura,Amerika Birləşmiş Ştatları,Harvard University,Design Engineering,4,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,96.8
96,magistratura,Amerika Birləşmiş Ştatları,Harvard University,Landscape Architecture,4,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,96.8
97,magistratura,Amerika Birləşmiş Ştatları,Harvard University,Urban Planning and Design,4,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,96.8
98,magistratura,Amerika Birləşmiş Ştatları,Massachusetts Institute of Technology,Architecture,1,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,100
99,magistratura,Amerika Birləşmiş Ştatları,Massachusetts Institute of Technology,Building Technology,1,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,100
100,magistratura,Amerika Birləşmiş Ştatları,Massachusetts Institute of Technology,City Planning,1,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,100
101,magistratura,Amerika Birləşmiş Ştatları,Princeton University,Architecture,22,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5,85.5
102,magistratura,Amerika Birləşmiş Ştatları,Stanford University,Design,6,100.0,100.0,100.0,99.0,70.3,60.8,96.8,100.0,81.2,96.1
103,magistratura,Amerika Birləşmiş Ştatları,"University of California, Berkeley",Architecture,12,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,90.1
104,magistratura,Amerika Birləşmiş Ştatları,"University of California, Berkeley",Design,12,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,90.1
105,magistratura,Amerika Birləşmiş Ştatları,"University of California, Berkeley",Urban Design,12,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,90.1
106,magistratura,Amerika Birləşmiş Ştatları,"University of California, Los Angeles",Architecture,42,100.0,99.8,35.4,74.0,42.2,22.3,95.5,94.7,67.1,79.8
107,magistratura,Amerika Birləşmiş Ştatları,"University of California, Los Angeles",Urban and Regional Planning,42,100.0,99.8,35.4,74.0,42.2,22.3,95.5,94.7,67.1,79.8
108,magistratura,Amerika Birləşmiş Ştatları,University of Michigan-Ann Arbor,Architecture,44,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2,79
109,magistratura,Amerika Birləşmiş Ştatları,University of Michigan-Ann Arbor,Landscape Architecture,44,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2,79
110,magistratura,Amerika Birləşmiş Ştatları,University of Pennsylvania,Architecture,11,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,90.3
111,magistratura,Amerika Birləşmiş Ştatları,University of Pennsylvania,Architecture: Advanced Architectural Design,11,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,90.3
112,magistratura,Amerika Birləşmiş Ştatları,University of Pennsylvania,City and Regional Planning: Smart Cities,11,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,90.3
113,magistratura,Amerika Birləşmiş Ştatları,University of Pennsylvania,Landscape Architecture and Regional Planning,11,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,90.3
114,magistratura,Amerika Birləşmiş Ştatları,Yale University,Architecture,23,99.9,99.9,100.0,38.6,91.5,63.3,93.9,98.5,92.2,85.2
115,magistratura,Avstraliya İttifaqı,Monash University,Architecture,37,89.2,79.6,9.4,87.6,100.0,100.0,94.8,79.4,98.2,81.2
116,magistratura,Avstraliya İttifaqı,University of Adelaide,Architecture,82,56.0,38.9,17.9,87.0,100.0,99.3,93.6,51.5,95.7,63.8
117,magistratura,Avstraliya İttifaqı,University of Adelaide,Landscape Architecture,82,56.0,38.9,17.9,87.0,100.0,99.3,93.6,51.5,95.7,63.8
118,magistratura,Avstraliya İttifaqı,University of Adelaide,Planning (Urban Design),82,56.0,38.9,17.9,87.0,100.0,99.3,93.6,51.5,95.7,63.8
119,magistratura,Avstraliya İttifaqı,University of Queensland,Architecture,40,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7,80.2
120,magistratura,Avstraliya İttifaqı,University of Queensland,Urban and Regional Planning,40,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7,80.2
121,magistratura,Avstraliya İttifaqı,University of Queensland,Urban Development and Design,40,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7,80.2
122,magistratura,Avstraliya İttifaqı,University of Melbourne,Architectural Engineering,13,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9
123,magistratura,Avstraliya İttifaqı,University of Melbourne,Architecture,13,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9
124,magistratura,Avstraliya İttifaqı,University of Melbourne,Landscape Architecture,13,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9
125,magistratura,Avstraliya İttifaqı,University of Melbourne,Urban Design,13,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9
126,magistratura,Avstraliya İttifaqı,University of Melbourne,Urban Planning,13,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9
127,magistratura,Avstraliya İttifaqı,University of Sydney,Architecture,18,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,87.3
128,magistratura,Avstraliya İttifaqı,University of Sydney,Urban and Regional Planning,18,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,87.3
129,magistratura,Avstraliya İttifaqı,University of Sydney,Urban Design,18,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,87.3
130,magistratura,Avstraliya İttifaqı,University of Sydney,Urbanism (Heritage Conservation),18,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,87.3
131,magistratura,Avstraliya İttifaqı,University of Sydney,Urbanism (Urban and Regional Planning),18,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,87.3
132,magistratura,Avstraliya İttifaqı,UNSW Sydney,Architecture,19,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2,87.1
133,magistratura,Avstraliya İttifaqı,UNSW Sydney,City Planning,19,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2,87.1
134,magistratura,Avstraliya İttifaqı,UNSW Sydney,Landscape Architecture,19,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2,87.1
135,magistratura,Birləşmiş Ərəb Əmirlikləri,United Arab Emirates University,Architectural Engineering,261,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,39.4
136,magistratura,Birləşmiş Krallıq,London School of Economics and Political Science,City Design and Social Science,50,67.2,97.0,35.1,69.4,100.0,100.0,81.2,99.6,91.3,76
137,magistratura,Birləşmiş Krallıq,London School of Economics and Political Science,Urbanisation and Development,50,67.2,97.0,35.1,69.4,100.0,100.0,81.2,99.6,91.3,76
138,magistratura,Birləşmiş Krallıq,UCL,Architectural Design,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
139,magistratura,Birləşmiş Krallıq,UCL,Architecture,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
140,magistratura,Birləşmiş Krallıq,UCL,Building and Urban Design in Development,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
141,magistratura,Birləşmiş Krallıq,UCL,City Planning,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
142,magistratura,Birləşmiş Krallıq,UCL,Design for Manufacture,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
143,magistratura,Birləşmiş Krallıq,UCL,"Infrastructure Planning, Appraisal and Development",9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
144,magistratura,Birləşmiş Krallıq,UCL,Landscape Architecture,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
145,magistratura,Birləşmiş Krallıq,UCL,Smart Buildings and Digital Engineering,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
146,magistratura,Birləşmiş Krallıq,UCL,Transport and City Planning,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
147,magistratura,Birləşmiş Krallıq,UCL,Urban Design and City Planning,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
148,magistratura,Birləşmiş Krallıq,University of Cambridge,Architecture,5,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,96.7
149,magistratura,Birləşmiş Krallıq,University of Edinburgh,Architecture,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
150,magistratura,Birləşmiş Krallıq,University of Edinburgh,"Interior, Architectural and Spatial Design",27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
151,magistratura,Birləşmiş Krallıq,University of Edinburgh,Landscape Architecture,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
152,magistratura,Birləşmiş Krallıq,University of Glasgow,City Planning and Real Estate Development,78,77.4,67.7,38.0,32.5,95.7,99.4,97.6,33.5,98.5,65
153,magistratura,Birləşmiş Krallıq,University of Glasgow,City Planning,78,77.4,67.7,38.0,32.5,95.7,99.4,97.6,33.5,98.5,65
154,magistratura,Birləşmiş Krallıq,University of Manchester,Landscape Architecture,34,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8,82
155,magistratura,Birləşmiş Krallıq,University of Manchester,Urban Design and International Planning,34,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8,82
156,magistratura,Birləşmiş Krallıq,University of Nottingham,Advanced Building Performance Engineering,108,61.1,65.8,32.8,37.6,89.4,70.5,98.0,38.0,97.0,58.5
157,magistratura,Birləşmiş Krallıq,University of Nottingham,Architecture,108,61.1,65.8,32.8,37.6,89.4,70.5,98.0,38.0,97.0,58.5
158,magistratura,Birləşmiş Krallıq,University of Sheffield,Architectural Design,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
159,magistratura,Birləşmiş Krallıq,University of Sheffield,Architectural Engineering Design,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
160,magistratura,Birləşmiş Krallıq,University of Sheffield,Architecture and Landscape Architecture,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
161,magistratura,Birləşmiş Krallıq,University of Sheffield,Architecture,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
162,magistratura,Birləşmiş Krallıq,University of Sheffield,Architecture: Collaborative Practice,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
163,magistratura,Birləşmiş Krallıq,University of Sheffield,Landscape Architecture,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
164,magistratura,Birləşmiş Krallıq,University of Sheffield,Urban and Regional Planning,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
165,magistratura,Birləşmiş Krallıq,University of Sheffield,Urban Design and Planning,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
166,magistratura,Birləşmiş Krallıq,University of Sheffield,Urban Design,105,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
167,magistratura,Cənubi Afrika Respublikası,University of Cape Town,City and Regional Planning,171,45.2,51.8,13.8,46.8,56.5,19.2,97.3,95.8,95.6,50
168,magistratura,Cənubi Afrika Respublikası,University of Cape Town,Landscape Architecture,171,45.2,51.8,13.8,46.8,56.5,19.2,97.3,95.8,95.6,50
169,magistratura,Çin Xalq Respublikası,Chinese University of Hong Kong,Architecture,36,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,81.3
170,magistratura,Çin Xalq Respublikası,Chinese University of Hong Kong,Urban Design,36,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,81.3
171,magistratura,Çin Xalq Respublikası,Chongqing University,Architecture,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
172,magistratura,Çin Xalq Respublikası,Chongqing University,Landscape Architecture,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
173,magistratura,Çin Xalq Respublikası,Chongqing University,Urban and Rural Planning,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
174,magistratura,Çin Xalq Respublikası,Dalian University of Technology,Architecture,448,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,26.6
175,magistratura,Çin Xalq Respublikası,Hong Kong Polytechnic University,Science in High Performance Buildings,57,68.0,35.6,65.0,94.9,100.0,91.9,78.9,64.5,77.4,72.1
176,magistratura,Çin Xalq Respublikası,Hong Kong Polytechnic University,Urban Informatics and Smart Cities,57,68.0,35.6,65.0,94.9,100.0,91.9,78.9,64.5,77.4,72.1
177,magistratura,Çin Xalq Respublikası,Huazhong University of Science and Technology,Urban and Rural Planning,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
